"core.id.mrg","X","core.id","Sample.Tree","plot","core.x","core.y","soil.mass","dry.mass","sample.id","soil.dry.mass.conv","nh.con","no.con","nh","no","n.tot","nod.num","nod.bio","NCI","age","nod.size.mg","nod.bio.m2","Nfix.rate","Nfix.rate.se","Nfixd.g.m2","Nfixd.kg.ha","fixNCI","tr.DAP","tr.height","tr.NCI","tr.fixNCI","tr.nh","tr.RH","subplot.ID","tr.Growth","hasnods","logsnf"
"BEJ _T_ 1.1",1,"BEJ_T_1.1","BEJ _ 1","BEJ",22.65340541,40.92437535,4.95,3.0996330255,1.1,0.62618849,1307.5995,138.10245,12.6556868756011,1.3366335517514,13.9923204273525,0,0,1707.656538,19,NA,0,0.220193827261768,0.0415067992579731,0,0,582.3816759,6.5,9.821489358,1282.551369,477.1567211,13.95730223,0.703681069,"BEJ 18",0.0312525435041044,"0",0
"BEJ _T_ 1.2",2,"BEJ_T_1.2","BEJ _ 1","BEJ",23.54368914,41.75741022,5,3.13094245,1.2,0.62618849,1515.3585,92.34325,14.5198309218363,0.88481265441337,15.4046435762497,0,0,1925.122284,19,NA,0,0.220193827261768,0.0415067992579731,0,0,717.161469,6.5,9.821489358,1282.551369,477.1567211,13.95730223,0.703681069,"BEJ 18",0.0312525435041044,"0",0
"BEJ _T_ 1.3",3,"BEJ_T_1.3","BEJ _ 1","BEJ",22.41222269,39.72922551,5.05,3.1622518745,1.3,0.62618849,2710.9615,132.86895,25.7186486806524,1.26051581537295,26.9791644960253,0,0,1639.084965,19,NA,0,0.220193827261768,0.0415067992579731,0,0,486.9113371,6.5,9.821489358,1282.551369,477.1567211,13.95730223,0.703681069,"BEJ 18",0.0312525435041044,"0",0
"BEJ _T_ 10.1",4,"BEJ_T_10.1","BEJ _ 10","BEJ",27.90949603,69.73891873,5.16,3.44032077828,10.1,0.666728833,1430.182,94.0785,12.4713544942895,0.820375535275244,13.2917300295648,0,0,1483.558989,19,NA,0,0.220193827261768,0.0415067992579731,0,0,704.9569987,22.6,17.98346788,1343.609228,526.5782756,13.40893589,1.341155482,"BEJ 33",0.0314632694557853,"0",0
"BEJ _T_ 10.2",5,"BEJ_T_10.2","BEJ _ 10","BEJ",29.1263989,69.66342283,4.99,3.32697687667,10.2,0.666728833,1994.277,7.3243,17.9827850381343,0.0660446429732715,18.0488296811076,0,0,1982.803595,19,NA,0,0.220193827261768,0.0415067992579731,0,0,690.1895053,22.6,17.98346788,1343.609228,526.5782756,13.40893589,1.341155482,"BEJ 33",0.0314632694557853,"0",0
"BEJ _T_ 10.3",6,"BEJ_T_10.3","BEJ _ 10","BEJ",30.0733443,68.89540808,5.19,3.46032264327,10.3,0.666728833,2334.0295,197.8283,20.2353630625121,1.71511434390164,21.9504774064137,0,0,3014.163607,19,NA,0,0.220193827261768,0.0415067992579731,0,0,549.1677978,22.6,17.98346788,1343.609228,526.5782756,13.40893589,1.341155482,"BEJ 33",0.0314632694557853,"0",0
"BEJ _T_ 11.1",7,"BEJ_T_11.1","BEJ _ 11","BEJ",17.50684656,79.84359123,5.17,3.16189250091,11.1,0.611584623,5225.388,36.8186,49.5784217695205,0.349334457032333,49.9277562265528,2,0.1276,8284.579243,19,63.8,25.3852134231573,0.220193827261768,0.0415067992579731,5.58966729950182,55.8966729950182,2177.037422,34.6,22.11346231,8294.020247,5915.731137,13.71834781,1.611962506,"BEJ 42",0.0145562977742077,"1",4.04123686833347
"BEJ _T_ 11.2",8,"BEJ_T_11.2","BEJ _ 11","BEJ",19.82347601,80.00783955,4.98,3.04569142254,11.2,0.611584623,1693.4795,243.03995,16.680739428826,2.39393867876457,19.0746781075905,0,0,5026.567886,19,NA,0,0.220193827261768,0.0415067992579731,0,0,2771.79662,34.6,22.11346231,8294.020247,5915.731137,13.71834781,1.611962506,"BEJ 42",0.0145562977742077,"0",0
"BEJ _T_ 11.3",9,"BEJ_T_11.3","BEJ _ 11","BEJ",18.69144433,79.55500789,5,3.057923115,11.3,0.611584623,NA,NA,NA,NA,NA,0,0,7521.975306,19,NA,0,0.220193827261768,0.0415067992579731,0,0,2436.099246,34.6,22.11346231,8294.020247,5915.731137,13.71834781,1.611962506,"BEJ 42",0.0145562977742077,"0",0
"BEJ _T_ 12.1",10,"BEJ_T_12.1","BEJ _ 12","BEJ",26.46647941,85.43961169,5.06,3.11969924618,12.1,0.616541353,3019.109,295.17545,29.0326928504101,2.83849909918178,31.8711919495919,0,0,2713.417495,19,NA,0,0.220193827261768,0.0415067992579731,0,0,1722.492786,5.3,8.895138493,2353.037608,1161.898299,14.08283698,0.631629728,"BEJ 43",0,"0",0
"BEJ _T_ 12.2",11,"BEJ_T_12.2","BEJ _ 12","BEJ",26.9258905,87.71616412,4.99,3.07654135147,12.2,0.616541353,3189.109,0,31.0976707510485,0,31.0976707510485,0,0,2109.014679,19,NA,0,0.220193827261768,0.0415067992579731,0,0,1058.604643,5.3,8.895138493,2353.037608,1161.898299,14.08283698,0.631629728,"BEJ 43",0,"0",0
"BEJ _T_ 12.3",12,"BEJ_T_12.3","BEJ _ 12","BEJ",27.06047932,86.50437285,4.97,3.06421052441,12.3,0.616541353,2560.159,0,25.0651087411132,0,25.0651087411132,7,0.8444,1829.085424,19,120.628571428571,167.988042433496,0.220193827261768,0.0415067992579731,36.9899299976437,369.899299976437,1066.397191,5.3,8.895138493,2353.037608,1161.898299,14.08283698,0.631629728,"BEJ 43",0,"1",5.91593059712908
"BEJ _T_ 13.1",13,"BEJ_T_13.1","BEJ _ 13","BEJ",17.25310624,101.0674526,4.94,2.99541834072,13.1,0.606359988,1901.8425,0,19.0475147408912,0,19.0475147408912,10,0.306,2826.221862,19,30.6,60.87676573265,0.220193827261768,0.0415067992579731,13.4046880379903,134.046880379903,2492.98613,9,11.5021366,1514.222374,1193.715298,12.80388661,0.898331651,"BEJ 52",0,"1",4.90562198023026
"BEJ _T_ 13.2",14,"BEJ_T_13.2","BEJ _ 13","BEJ",17.77273223,98.80388494,5.12,3.10456313856,13.2,0.606359988,1675.837,0,16.1939402602452,0,16.1939402602452,0,0,2010.664395,19,NA,0,0.220193827261768,0.0415067992579731,0,0,1776.395192,9,11.5021366,1514.222374,1193.715298,12.80388661,0.898331651,"BEJ 52",0,"0",0
